Jornada 1,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Valladolid,3 - 0,Villarreal B,José Zorrilla,27 de agosto,21:00,
Celta de Vigo,1 - 2,FC Barcelona B,Balaídos,28 de agosto,18:00,Lasexta
Girona FC,4 - 2,CD Tenerife,Montilivi,,,
UD Las Palmas,3 - 2,Nàstic,Gran Canaria,,,
SD Ponferradina,0 - 0,SD Huesca,El Toralín,,,
Elche CF,1 - 0,Recreativo,Martínez Valero,,,
Rayo Vallecano,3 - 2,CD Numancia,Teresa Rivero,29 de agosto,12:00,Canal+
UD Salamanca,1 - 1,Córdoba CF,Helmántico,,19:00,
Albacete,1 - 1,AD Alcorcón,Carlos Belmonte,,,
Xerez CD,1 - 4,FC Cartagena,Chapín,,20:30,
Real Betis,4 - 1,Granada CF,Manuel Ruiz de Lopera,,21:30,
Jornada 2,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
FC Cartagena,0 - 1,Elche CF,Cartagonova,4 de septiembre,18:00,7RM
Nàstic,2 - 0,Girona FC,Nou Estadi,,,El 33
SD Huesca,0 - 0,UD Las Palmas,El Alcoraz,,,ATV / TVC
Villarreal B,1 - 0,Albacete,Ciudad Deportiva,,,CMT
Recreativo,1 - 3,Real Betis,Nuevo Colombino,,,CS / tvG2 / LaOtra / ETB 1
Córdoba,2 - 3,Rayo Vallecano,Nuevo Arcángel,,20:00,Gol T / C+ Liga
AD Alcorcón,2 - 0,SD Ponferradina,Santo Domingo,5 de septiembre,12:00,Gol T
CD Numancia,1 - 3,Celta de Vigo,Los Pajaritos,,17:00,Gol T / C+ Liga
Granada CF,0 - 1,Valladolid,Nuevo Los Cármenes,,19:00,Gol T
CD Tenerife,1 - 2,UD Salamanca,Heliodoro Rodríguez López,,20:00,
FC Barcelona B,2 - 1,Xerez CD,Mini Estadi,,21:00,Canal+
Jornada 3,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
UD Salamanca,1 - 0,Nàstic,Helmántico,10 de septiembre,21:00,Gol T / C+ Liga
Celta de Vigo,3 - 2,Córdoba CF,Balaídos,11 de septiembre,16:00,Marca TV
FC Cartagena,5 - 1,FC Barcelona B,Cartagonova,,18:00,7RM / El 33
Rayo Vallecano,1 - 0,CD Tenerife,Teresa Rivero,,,LaOtra / TVC / tvG2 / ETB 1
SD Ponferradina,1 - 5,Villarreal B,El Toralín,,,
Elche CF,0 - 2,Real Betis,Martínez Valero,,,CS
UD Las Palmas,4 - 1,AD Alcorcón,Gran Canaria,,20:00,
Albacete,2 - 1,Granada CF,Carlos Belmonte,,21:30,
Valladolid,4 - 0,Recreativo,José Zorrilla,12 de septiembre,12:00,Canal+
Xerez CD,1 - 0,CD Numancia,Chapín,,17:00,Gol T / C+ Liga
Girona FC,3 - 1,SD Huesca,Montilivi,,,
Jornada 4,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Villarreal B,0 - 3,UD Las Palmas,Ciudad Deportiva,17 de septiembre,21:00,Gol T / C+ Liga
FC Barcelona B,2 - 0,Elche CF,Mini Estadi,18 de septiembre,16:00,Marca TV
CD Numancia,2 - 0,FC Cartagena,Los Pajaritos,,18:00,7RM
Córdoba CF,0 - 2,Xerez CD,Nuevo Arcángel,,,CS2
CD Tenerife,0 - 2,Celta de Vigo,Heliodoro Rodríguez López,,,TVC / tvG2 / C9 2 / ETB 1
SD Huesca,0 - 1,UD Salamanca,El Alcoraz,,,ATV
AD Alcorcón,3 - 1,Girona FC,Santo Domingo,,,LaOtra / El 33
Real Betis,2 - 1,Valladolid,Manuel Ruiz de Lopera,19 de septiembre,12:00,Canal+
Nàstic,0 - 1,Rayo Vallecano,Nou Estadi,,17:00,Gol T / C+ Liga
Granada CF,2 - 0,SD Ponferradina,Nuevo Los Cármenes,,,
Recreativo,0 - 0,Albacete,Nuevo Colombino,,,
Jornada 5,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Xerez CD,2 - 0,CD Tenerife,Chapín,24 de septiembre,21:00,Gol T / C+ Liga
Albacete,2 - 1,Real Betis,Carlos Belmonte,25 de septiembre,16:00,Marca TV
FC Cartagena,1 - 2,Córdoba CF,Cartagonova,,18:00,7RM
Rayo Vallecano,4 - 0,SD Huesca,Teresa Rivero,,,ATV
Girona FC,2 - 3,Villarreal B,Montilivi,,,El 33 / C9 2
UD Las Palmas,1 - 1,Granada CF,Gran Canaria,,,TVC / CS2 / LaOtra / tvG2 / ETB 1
Elche CF,2 - 2,Valladolid,Martínez Valero,26 de septiembre,12:00,Canal+
FC Barcelona B,1 - 0,CD Numancia,Mini Estadi,,17:00,Gol T / C+ Liga
Celta de Vigo,1 - 0,Nàstic,Balaídos,,,
UD Salamanca,1 - 1,AD Alcorcón,Helmántico,,,
SD Ponferradina,1 - 1,Recreativo,El Toralín,,,
Jornada 6,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Villarreal B,0 - 1,UD Salamanca,Ciudad Deportiva,1 de octubre,21:00,Gol T / C+ Liga
Real Betis,3 - 0,SD Ponferradina,Manuel Ruiz de Lopera,2 de octubre,16:00,Marca TV
Nàstic,0 - 2,Xerez CD,Nou Estadi,,18:00,El 33
SD Huesca,1 - 2,Celta de Vigo,El Alcoraz,,,ATV / tvG2
Recreativo,1 - 1,UD Las Palmas,Nuevo Colombino,,,CS2 / TVC / LaOtra / C9 2 / ETB 1
AD Alcorcón,2 - 0,Rayo Vallecano,Santo Domingo,3 de octubre,12:00,Canal+
CD Numancia,2 - 0,Elche CF,Los Pajaritos,,17:00,
Córdoba CF,2 - 0,FC Barcelona B,Nuevo Arcángel,,,
Granada CF,2 - 1,Girona FC,Nuevo Los Cármenes,,,
CD Tenerife,1 - 1,FC Cartagena,Heliodoro Rodríguez López,,18:00,
Valladolid,1 - 1,Albacete,José Zorrilla,4 de octubre,21:00,Gol T / C+ Liga
Jornada 7,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Rayo Vallecano,3 - 0,Villarreal B,Teresa Rivero,9 de octubre,16:00,Marca TV
FC Cartagena,2 - 2,Nàstic,Cartagonova,,18:00,7RM / El 33
UD Las Palmas,2 - 2,Real Betis,Gran Canaria,,,TVC / CS / LaOtra / tvG2 / ETB 1
Elche CF,1 - 0,Albacete,Martínez Valero,,,C9 2 / CMT
Celta de Vigo,3 - 0,AD Alcorcón,Balaídos,,20:00,Gol T / C+ Liga
CD Numancia,1 - 1,Córdoba CF,Los Pajaritos,10 de octubre,17:00,
Xerez CD,1 - 3,SD Huesca,Chapín,,,Gol T / C+ Liga
UD Salamanca,1 - 2,Granada CF,Helmántico,,,
Girona FC,0 - 0,Recreativo,Montilivi,,,
SD Ponferradina,1 - 1,Valladolid,El Toralín,,19:00,Gol T
FC Barcelona B,3 - 1,CD Tenerife,Mini Estadi,,21:00,Canal+
Jornada 8,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Recreativo,0 - 2,UD Salamanca,Nuevo Colombino,15 de octubre,21:00,Gol T / C+ Liga
Real Betis,2 - 1,Girona FC,Manuel Ruiz de Lopera,16 de octubre,16:00,Marca TV
Nàstic,1 - 1,FC Barcelona B,Nou Estadi,,18:00,El 33 / TVC
SD Huesca,0 - 0,FC Cartagena,El Alcoraz,,,ATV / 7RM
AD Alcorcón,3 - 1,Xerez CD,Santo Domingo,,,LaOtra / CS2 / ETB 1
Villarreal B,2 - 2,Celta de Vigo,Ciudad Deportiva,,,C9 2 / tvG2
Albacete,0 - 1,SD Ponferradina,Carlos Belmonte,,,CMT
Granada CF,1 - 1,Rayo Vallecano,Nuevo Los Cármenes,17 de octubre,12:00,Canal+
