Jornada 2 (Fecha: 28/08/2011),,
Local,Marcador,Visitante
R.C. DEPORTIVO DE LA CORUÑA,1 - 0 ,R.C.RVO. DE HUELVA
HERCULES C.F.,2 - 0 ,F.C. CARTAGENA
F.C. BARCELONA B,0 - 2 ,VILLARREAL C.F. B
C.E. SABADELL F.C..,2 - 1 ,S.D. HUESCA
A.D. ALCORCON,0 - 1 ,XEREZ C.D. S.A.D.
C.D. GUADALAJARA,1 - 1 ,U.D. LAS PALMAS
C.D. ALCOYANO,1 - 1 ,C.D. NUMANCIA DE SORIA
GIMNASTIC DE TARRAGONA,0 - 3 ,REAL VALLADOLID C.F.
CORDOBA C.F.,1 - 1 ,U.D. ALMERIA
GIRONA F.C.,1 - 4 ,ELCHE C.F.
REAL MURCIA C.F. SAD,1 - 3 ,R.C. CELTA DE VIGO
Jornada 2 (Fecha: 28/08/2011),,
Local,Marcador,Visitante
R.C. DEPORTIVO DE LA CORUÑA,1 - 0 ,R.C.RVO. DE HUELVA
HERCULES C.F.,2 - 0 ,F.C. CARTAGENA
F.C. BARCELONA B,0 - 2 ,VILLARREAL C.F. B
C.E. SABADELL F.C..,2 - 1 ,S.D. HUESCA
A.D. ALCORCON,0 - 1 ,XEREZ C.D. S.A.D.
C.D. GUADALAJARA,1 - 1 ,U.D. LAS PALMAS
C.D. ALCOYANO,1 - 1 ,C.D. NUMANCIA DE SORIA
GIMNASTIC DE TARRAGONA,0 - 3 ,REAL VALLADOLID C.F.
CORDOBA C.F.,1 - 1 ,U.D. ALMERIA
GIRONA F.C.,1 - 4 ,ELCHE C.F.
REAL MURCIA C.F. SAD,1 - 3 ,R.C. CELTA DE VIGO
Jornada 3 (Fecha: 04/09/2011),,
Local,Marcador,Visitante
R.C. DEPORTIVO DE LA CORUÑA,0 - 1 ,HERCULES C.F.
F.C. CARTAGENA,0 - 4 ,F.C. BARCELONA B
VILLARREAL C.F. B,3 - 4 ,C.E. SABADELL F.C..
S.D. HUESCA,0 - 3 ,A.D. ALCORCON
XEREZ C.D. S.A.D.,0 - 2 ,C.D. GUADALAJARA
U.D. LAS PALMAS,1 - 0 ,C.D. ALCOYANO
C.D. NUMANCIA DE SORIA,0 - 0 ,GIMNASTIC DE TARRAGONA
REAL VALLADOLID C.F.,2 - 0 ,CORDOBA C.F.
U.D. ALMERIA,2 - 2 ,GIRONA F.C.
ELCHE C.F.,1 - 0 ,REAL MURCIA C.F. SAD
R.C.RVO. DE HUELVA,1 - 2 ,R.C. CELTA DE VIGO
Jornada 4 (Fecha: 11/09/2011),,
Local,Marcador,Visitante
HERCULES C.F.,0 - 1 ,R.C.RVO. DE HUELVA
