Jornada 1,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Hércules,0 - 1,,Athletic,,José Rico Pérez,,28 de agosto,,18:00,,PPV
Málaga,1 - 3,,Valencia,,La Rosaleda,,,,20:00,,PPV
Levante,1 - 4,,Sevilla,,Ciutat de València,,,,22:00,,PPV
Deportivo,0 - 0,,Zaragoza,,Riazor,,29 de agosto,,17:00,,PPV
Espanyol,3 - 1,,Getafe,,Cornellà-El Prat,,,,,,PPV
Real Sociedad,1 - 0,,Villarreal,,Anoeta,,,,,,PPV
Osasuna,0 - 0,,Almería,,Reyno de Navarra,,,,,,PPV
Racing,0 - 3,,Barcelona,,El Sardinero,,,,19:00,,PPV
Mallorca,0 - 0,,Real Madrid,,Iberostar Estadi,,,,21:00,,Canal+
At. Madrid,4 - 0,,Sporting,,Vicente Calderón,,30 de agosto,,22:00,,laSexta
Jornada 2,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Barcelona,0 - 2,,Hércules,,Camp Nou,,11 de septiembre,,18:00,,PPV
Valencia,1 - 0,,Racing,,Mestalla,,,,,,PPV
Real Madrid,1 - 0,,Osasuna,,Santiago Bernabéu,,,,20:00,,PPV
Athletic,1 - 2,,At. Madrid,,San Mamés,,,,22:00,,laSexta
Sporting,2 - 0,,Mallorca,,El Molinón,,12 de septiembre,,17:00,,PPV
Zaragoza,3 - 5,,Málaga,,La Romareda,,,,,,PPV
Getafe,4 - 1,,Levante,,Coliseum Alfonso Pérez,,,,,,PPV
Villarreal,4 - 0,,Espanyol,,El Madrigal,,,,19:00,,PPV
Sevilla,0 - 0,,Deportivo,,Ramón Sánchez Pizjuán,,,,21:00,,Canal+
Almería,2 - 2,,Real Sociedad,,Juegos Mediterráneos,,13 de septiembre,,21:00,,PPV
Jornada 3,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Espanyol,1 - 0,,Almería,,Cornellà-El Prat,,18 de septiembre,,18:00,,PPV
Mallorca,2 - 0,,Osasuna,,Iberostar Estadi,,,,,,PPV
Sporting,2 - 2,,Athletic,,El Molinón,,,,20:00,,PPV
Real Sociedad,1 - 2,,Real Madrid,,Anoeta,,,,22:00,,laSexta
Hércules,1 - 2,,Valencia,,José Rico Pérez,,19 de septiembre,,17:00,,PPV
Racing,2 - 0,,Zaragoza,,El Sardinero,,,,,,PPV
Levante,1 - 2,,Villarreal,,Ciutat de València,,,,,,PPV
Atlético de Madrid,1 - 2,,Barcelona,,Vicente Calderón,,,,19:00,,PPV
Málaga,1 - 2,,Sevilla,,La Rosaleda,,,,21:00,,Canal+
Deportivo,2 - 2,,Getafe,,Riazor,,20 de septiembre,,21:00,,PPV
Jornada 4,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Athletic,3 - 0,,Mallorca,,San Mamés,,21 de septiembre,,20:00,,PPV
Osasuna,3 - 1,,Real Sociedad,,Reyno de Navarra,,,,,,PPV
Real Madrid,3 - 0,,Espanyol,,Santiago Bernabéu,,,,22:00,,PPV
Barcelona,1 - 0,,Sporting,,Camp Nou,,22 de septiembre,,20:00,,Canal+
Zaragoza,0 - 0,,Hércules,,La Romareda,,,,,,PPV
Almería,0 - 1,,Levante,,Juegos Mediterráneos,,,,,,PPV
Valencia,1 - 1,,At. Madrid,,Mestalla,,,,22:00,,laSexta
Getafe,0 - 2,,Málaga,,Coliseum Alfonso Pérez,,23 de septiembre,,20:00,,PPV
Villarreal,1 - 0,,Deportivo,,El Madrigal,,,,,,PPV
Sevilla,1 - 1,,Racing,,Ramón Sánchez Pizjuán,,,,22:00,,PPV
Jornada 5,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Sporting,0 - 2,,Valencia,,El Molinón,,25 de septiembre,,18:00,,PPV
Levante,0 - 0,,Real Madrid,,Ciutat de València,,,,20:00,,PPV
Athletic,1 - 3,,Barcelona,,San Mamés,,,,22:00,,laSexta
Racing,0 - 1,,Getafe,,El Sardinero,,26 de septiembre,,17:00,,PPV
Deportivo,0 - 2,,Almería,,Riazor,,,,,,PPV
Espanyol,1 - 0,,Osasuna,,Cornellà-El Prat,,,,,,PPV
Mallorca,2 - 0,,Real Sociedad,,Iberostar Estadi,,,,,,PPV
Hércules,2 - 0,,Sevilla,,José Rico Pérez,,,,19:00,,PPV
At. Madrid,1 - 0,,Zaragoza,,Vicente Calderón,,,,21:00,,Canal+
Málaga,2 - 3,,Villarreal,,La Rosaleda,,27 de septiembre,,21:00,,PPV
Jornada 6,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Zaragoza,2 - 2,,Sporting,,La Romareda,,2 de octubre,,18:00,,PPV
Real Sociedad,1 - 0,,Espanyol,,Anoeta,,,,20:00,,PPV
Valencia,2 - 1,,Athletic,,Mestalla,,,,22:00,,laSexta
Sevilla,3 - 1,,At. Madrid,,Ramón Sánchez Pizjuán,,3 de octubre,,17:00,,PPV
Getafe,3 - 0,,Hércules,,Coliseum Alfonso Pérez,,,,,,PPV
Villarreal,2 - 0,,Racing,,El Madrigal,,,,,,PPV
Almería,1 - 1,,Málaga,,Juegos Mediterráneos,,,,,,PPV
Osasuna,1 - 1,,Levante,,Reyno de Navarra,,,,,,PPV
Barcelona,1 - 1,,Mallorca,,Camp Nou,,,,19:00,,PPV
Real Madrid,6 - 1,,Deportivo,,Santiago Bernabéu,,,,21:00,,Canal+
Jornada 7,,,,,,,,,,,
Local,Resultado,Visitante,,Estadio,,Fecha,,Hora,,Directo TV,
At. Madrid,2 - 0,Getafe,,Vicente Calderón,,16 de octubre,,18:00,,Gol T / C+ Liga,
Barcelona,2 - 1,Valencia,,Camp Nou,,,,20:00,,Gol T / C+ Liga,
Málaga,1 - 4,Real Madrid,,La Rosaleda,,,,22:00,,laSexta / TM / TV3 / C9 / IB3 / TPA7,
Racing,1 - 0,Almería,,El Sardinero,,17 de octubre,,17:00,,Taquilla 5,
Deportivo,0 - 0,Osasuna,,Riazor,,,,,,Taquilla 6,
Levante,2 - 1,Real Sociedad,,Ciutat de València,,,,,,Taquilla 7,
Mallorca,0 - 1,Espanyol,,Iberostar Estadi,,,,,,Taquilla 8,
Athletic,2 - 1,Zaragoza,,San Mamés,,,,19:00,,Gol T / C+ Liga,
Sporting,2 - 0,Sevilla,,El Molinón,,,,21:00,,Canal+,
Hércules,2 - 2,Villarreal,,José Rico Pérez,,18 de octubre,,21:00,,Gol T / Taquilla 8,
Jornada 8,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Zaragoza,0 - 2,,Barcelona,,La Romareda,,23 de octubre,,18:00,,Gol T / C+ Liga
Real Madrid,6 - 1,,Racing,,Santiago Bernabéu,,,,20:00,,Gol T / C+ Liga
Valencia,1 - 2,,Mallorca,,Mestalla,,,,22:00,,laSexta / C9 / IB3 / TV3 / TM / TPA7
Getafe,3 - 0,,Sporting,,Coliseum Alfonso Pérez,,24 de octubre,,17:00,,Taquilla 5
Almería,1 - 1,,Hércules,,Juegos Mediterráneos,,,,,,Taquilla 6
Osasuna,3 - 0,,Málaga,,Reyno de Navarra,,,,,,Taquilla 7
Espanyol,2 - 1,,Levante,,Cornellà-El Prat,,,,,,Taquilla 8
Sevilla,4 - 3,,Athletic,,Ramón Sánchez Pizjuán,,,,19:00,,Gol T / C+ Liga
Villarreal,2 - 0,,At. Madrid,,El Madrigal,,,,21:00,,Canal+
Real Sociedad,3 - 0,,Deportivo,,Anoeta,,25 de octubre,,21:00,,Gol T / Taquilla 7
Jornada 9,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Valencia,1 - 1,,Zaragoza,,Mestalla,,30 de octubre,,18:00,,Gol T / C+ Liga
