Resultados Temporada 2011/2012 - Jornada Nº 2 (Fecha: 28/08/2011),,
Equipo Local,Marcador,Equipo Visitante
"R.C. DEPORTIVO DE LA CORUÑA, SAD",1 - 0 ,"R.C.RVO. DE HUELVA, SAD"
"HERCULES C.F., SAD",2 - 0 ,"F.C. CARTAGENA, SAD"
F.C. BARCELONA B,0 - 2 ,VILLARREAL C.F. B
"C.E. SABADELL F.C., SAD.",2 - 1 ,"S.D. HUESCA, SAD"
A.D. ALCORCON,0 - 1 ,"XEREZ C.D., S.A.D."
C.D. GUADALAJARA,1 - 1 ,"U.D. LAS PALMAS, SAD"
C.D. ALCOYANO,1 - 1 ,"C.D. NUMANCIA DE SORIA, SAD"
"GIMNASTIC DE TARRAGONA, SAD",0 - 3 ,"REAL VALLADOLID C.F., SAD"
"CORDOBA C.F., SAD",1 - 1 ,"U.D. ALMERIA, SAD"
"GIRONA F.C., SAD",1 - 4 ,"ELCHE C.F., SAD"
REAL MURCIA C.F. SAD,1 - 3 ,"R.C. CELTA DE VIGO, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 2 (Fecha: 28/08/2011),,
Equipo Local,Marcador,Equipo Visitante
"R.C. DEPORTIVO DE LA CORUÑA, SAD",1 - 0 ,"R.C.RVO. DE HUELVA, SAD"
"HERCULES C.F., SAD",2 - 0 ,"F.C. CARTAGENA, SAD"
F.C. BARCELONA B,0 - 2 ,VILLARREAL C.F. B
"C.E. SABADELL F.C., SAD.",2 - 1 ,"S.D. HUESCA, SAD"
A.D. ALCORCON,0 - 1 ,"XEREZ C.D., S.A.D."
C.D. GUADALAJARA,1 - 1 ,"U.D. LAS PALMAS, SAD"
C.D. ALCOYANO,1 - 1 ,"C.D. NUMANCIA DE SORIA, SAD"
"GIMNASTIC DE TARRAGONA, SAD",0 - 3 ,"REAL VALLADOLID C.F., SAD"
"CORDOBA C.F., SAD",1 - 1 ,"U.D. ALMERIA, SAD"
"GIRONA F.C., SAD",1 - 4 ,"ELCHE C.F., SAD"
REAL MURCIA C.F. SAD,1 - 3 ,"R.C. CELTA DE VIGO, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 3 (Fecha: 04/09/2011),,
Equipo Local,Marcador,Equipo Visitante
"R.C. DEPORTIVO DE LA CORUÑA, SAD",0 - 1 ,"HERCULES C.F., SAD"
"F.C. CARTAGENA, SAD",0 - 4 ,F.C. BARCELONA B
VILLARREAL C.F. B,3 - 4 ,"C.E. SABADELL F.C., SAD."
"S.D. HUESCA, SAD",0 - 3 ,A.D. ALCORCON
"XEREZ C.D., S.A.D.",0 - 2 ,C.D. GUADALAJARA
"U.D. LAS PALMAS, SAD",1 - 0 ,C.D. ALCOYANO
"C.D. NUMANCIA DE SORIA, SAD",0 - 0 ,"GIMNASTIC DE TARRAGONA, SAD"
"REAL VALLADOLID C.F., SAD",2 - 0 ,"CORDOBA C.F., SAD"
"U.D. ALMERIA, SAD",2 - 2 ,"GIRONA F.C., SAD"
"ELCHE C.F., SAD",1 - 0 ,REAL MURCIA C.F. SAD
"R.C.RVO. DE HUELVA, SAD",1 - 2 ,"R.C. CELTA DE VIGO, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 4 (Fecha: 11/09/2011),,
Equipo Local,Marcador,Equipo Visitante
"HERCULES C.F., SAD",0 - 1 ,"R.C.RVO. DE HUELVA, SAD"
F.C. BARCELONA B,2 - 3 ,"R.C. DEPORTIVO DE LA CORUÑA, SAD"
"C.E. SABADELL F.C., SAD.",3 - 2 ,"F.C. CARTAGENA, SAD"
A.D. ALCORCON,1 - 1 ,VILLARREAL C.F. B
C.D. GUADALAJARA,2 - 1 ,"S.D. HUESCA, SAD"
C.D. ALCOYANO,0 - 1 ,"XEREZ C.D., S.A.D."
"GIMNASTIC DE TARRAGONA, SAD",1 - 3 ,"U.D. LAS PALMAS, SAD"
"CORDOBA C.F., SAD",1 - 0 ,"C.D. NUMANCIA DE SORIA, SAD"
"GIRONA F.C., SAD",1 - 1 ,"REAL VALLADOLID C.F., SAD"
REAL MURCIA C.F. SAD,0 - 2 ,"U.D. ALMERIA, SAD"
"R.C. CELTA DE VIGO, SAD",1 - 2 ,"ELCHE C.F., SAD"
Resultados Temporada 2011/2012 - Jornada Nº 5 (Fecha: 18/09/2011),,
Equipo Local,Marcador,Equipo Visitante
"HERCULES C.F., SAD",2 - 1 ,F.C. BARCELONA B
"R.C. DEPORTIVO DE LA CORUÑA, SAD",2 - 1 ,"C.E. SABADELL F.C., SAD."
"F.C. CARTAGENA, SAD",0 - 2 ,A.D. ALCORCON
VILLARREAL C.F. B,3 - 3 ,C.D. GUADALAJARA
"S.D. HUESCA, SAD",3 - 3 ,C.D. ALCOYANO
"XEREZ C.D., S.A.D.",0 - 0 ,"GIMNASTIC DE TARRAGONA, SAD"
"U.D. LAS PALMAS, SAD",0 - 1 ,"CORDOBA C.F., SAD"
"C.D. NUMANCIA DE SORIA, SAD",1 - 0 ,"GIRONA F.C., SAD"
"REAL VALLADOLID C.F., SAD",1 - 3 ,REAL MURCIA C.F. SAD
"U.D. ALMERIA, SAD",1 - 0 ,"R.C. CELTA DE VIGO, SAD"
"R.C.RVO. DE HUELVA, SAD",1 - 0 ,"ELCHE C.F., SAD"
Resultados Temporada 2011/2012 - Jornada Nº 6 (Fecha: 25/09/2011),,
Equipo Local,Marcador,Equipo Visitante
F.C. BARCELONA B,2 - 2 ,"R.C.RVO. DE HUELVA, SAD"
"C.E. SABADELL F.C., SAD.",1 - 1 ,"HERCULES C.F., SAD"
A.D. ALCORCON,4 - 0 ,"R.C. DEPORTIVO DE LA CORUÑA, SAD"
C.D. GUADALAJARA,2 - 0 ,"F.C. CARTAGENA, SAD"
C.D. ALCOYANO,1 - 1 ,VILLARREAL C.F. B
"GIMNASTIC DE TARRAGONA, SAD",1 - 3 ,"S.D. HUESCA, SAD"
"CORDOBA C.F., SAD",2 - 1 ,"XEREZ C.D., S.A.D."
"GIRONA F.C., SAD",4 - 2 ,"U.D. LAS PALMAS, SAD"
REAL MURCIA C.F. SAD,2 - 1 ,"C.D. NUMANCIA DE SORIA, SAD"
"R.C. CELTA DE VIGO, SAD",1 - 1 ,"REAL VALLADOLID C.F., SAD"
"ELCHE C.F., SAD",1 - 3 ,"U.D. ALMERIA, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 7 (Fecha: 02/10/2011),,
Equipo Local,Marcador,Equipo Visitante
"XEREZ C.D., S.A.D.",2 - 1 ,"GIRONA F.C., SAD"
"U.D. LAS PALMAS, SAD",1 - 1 ,REAL MURCIA C.F. SAD
"C.D. NUMANCIA DE SORIA, SAD",0 - 2 ,"R.C. CELTA DE VIGO, SAD"
"REAL VALLADOLID C.F., SAD",2 - 1 ,"ELCHE C.F., SAD"
"R.C.RVO. DE HUELVA, SAD",0 - 1 ,"U.D. ALMERIA, SAD"
F.C. BARCELONA B,0 - 1 ,"C.E. SABADELL F.C., SAD."
"HERCULES C.F., SAD",1 - 0 ,A.D. ALCORCON
"R.C. DEPORTIVO DE LA CORUÑA, SAD",4 - 0 ,C.D. GUADALAJARA
"F.C. CARTAGENA, SAD",1 - 2 ,C.D. ALCOYANO
VILLARREAL C.F. B,3 - 2 ,"GIMNASTIC DE TARRAGONA, SAD"
"S.D. HUESCA, SAD",0 - 1 ,"CORDOBA C.F., SAD"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Resultados Temporada 2011/2012 - Jornada Nº 9 (Fecha: 16/10/2011),,
Equipo Local,Marcador,Equipo Visitante
"C.E. SABADELL F.C., SAD.",1 - 0 ,A.D. ALCORCON
F.C. BARCELONA B,1 - 2 ,C.D. GUADALAJARA
"HERCULES C.F., SAD",1 - 0 ,C.D. ALCOYANO
