Jornada 1,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Girona F. C.,1 - 0,Deportivo Alavés,Montilivi,16 de agosto,21:00,Esport3
C. D. Mirandés,2 - 1,"F. C. Barcelona ""B""",Anduva,17 de agosto,19:00,Esport3
U. D. Las Palmas,0 - 1,R. C. Deportivo de la Coruña,Gran Canaria,,,TV Canaria
Hércules C. F.,1 - 1,Real Zaragoza,José Rico Pérez,,,Canal+ 1
Córdoba C. F.,1 - 0,S. D. Ponferradina,Nuevo Arcángel,,21:00,TBA
C. D. Lugo,0 - 0,C. D. Numancia de Soria,Anxo Carro,,,TBA
C. E. Sabadell F. C.,4 - 0,R. C. D. Mallorca,Nova Creu Alta,18 de agosto,19:00,Esport3
Real Sporting de Gijón,1 - 0,Real Madrid Castilla C. F.,El Molinón,,,Telecable
A. D. Alcorcón,1 - 0,C. D. Tenerife,Santo Domingo,,,TV Canaria
Real Jaén C. F.,1 - 2,S. D. Eibar,La Victoria,,,TBA
Real Murcia C. F.,2 - 3,R. C. Recreativo de Huelva,Nueva Condomina,,21:00,Teledeporte
Jornada 2,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Real Zaragoza,0 - 0,C. D. Mirandés,La Romareda,24 de agosto,19:00,TBA
S. D. Eibar,0 - 3,Girona F. C.,Ipurúa,,,Esport3
Deportivo Alavés,1 - 1,U. D. Las Palmas,Mendizorroza,,,Canal+ 1
R. C. Deportivo de la Coruña,0 - 1,Córdoba C. F.,Riazor,,,TBA
Real Madrid Castilla C. F.,0 - 1,A. D. Alcorcón,Alfredo Di Stéfano,,21:00,Teledeporte
"F. C. Barcelona ""B""",2 - 1,C. D. Lugo,Mini Estadi,,,Esport3
S. D. Ponferradina,2 - 0,C. E. Sabadell F. C.,El Toralín,25 de agosto,19:00,Esport3
C. D. Tenerife,0 - 0,Hércules C. F.,Heliodoro Rodríguez López,,,Televisión Canaria
R. C. Recreativo de Huelva,1 - 1,Real Sporting de Gijón,Nuevo Colombino,,,Telecable
C. D. Numancia de Soria,4 - 2,Real Jaén,Los Pajaritos,,21:00,TBA
R. C. D. Mallorca,2 - 4,Real Murcia C. F.,Iberostar Estadio,,,TBA
Jornada 3,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Hércules C. F.,2 - 1,Real Madrid Castilla C. F.,José Rico Pérez,31 de agosto,19:00,Real Madrid TV
U. D. Las Palmas,1 - 1,S. D. Eibar,Gran Canaria,,,Televisión Canaria
Girona F. C.,2 - 2,C. D. Numancia de Soria,Montilivi,,,Esport3
"F. C. Barcelona ""B""",1 - 0,Real Zaragoza,Mini Estadi,,21:00,Esport3
Real Sporting de Gijón,3 - 0,R. C. D. Mallorca,El Molinón,1 de septiembre,12:00,Canal+ 1
C. E. Sabadell F. C.,0 - 3,R. C. Deportivo de la Coruña,Nova Creu Alta,,17:00,Esport3
Real Murcia C. F.,2 - 2,S. D. Ponferradina,Nueva Condomina,,18:00,TBA
C. D. Mirandés,2 - 0,C. D. Tenerife,Anduva,,,Televisión Canaria
Córdoba C. F.,1 - 1,Deportivo Alavés,Nuevo Arcángel,,,TBA
C. D. Lugo,4 - 2,Real Jaén C. F.,Anxo Carro,,,TBA
A. D. Alcorcón,3 - 0,R. C. Recreativo de Huelva,Santo Domingo,,21:00,Teledeporte
Jornada 4,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Real Zaragoza,0 - 1,C. D. Lugo,La Romareda,7 de septiembre,18:00,laSexta
